 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.66.97:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [28/May/2026 13:23:20] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:20] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:20] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:23] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:23] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:23] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:26] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:26] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:26] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:29] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:29] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:23:29] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:24:24] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:24:24] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:24:24] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:25:24] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:25:24] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:25:24] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:11] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:11] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:11] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:12] "POST /api/poller/start HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:12] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:12] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:12] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:13] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:13] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:13] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:16] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:16] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:16] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:19] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:19] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:19] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:23] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:23] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:23] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:26] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:26] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:26] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:29] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:29] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:29] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:32] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:26:32] "GET /api/poller/config HTTP/1.1" 200 -
